Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2010","2010","1000 USD","2214956","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2011","2011","t","656336","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2011","2011","1000 USD","141307","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2011","2011","t","9486914","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2011","2011","1000 USD","2716354","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2012","2012","t","830443","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2012","2012","1000 USD","171228","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2012","2012","t","19801939","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2012","2012","1000 USD","5383338","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2013","2013","t","911387","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2013","2013","1000 USD","159832","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2013","2013","t","26624890","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2013","2013","1000 USD","6307632","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2014","2014","t","773273.08","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2014","2014","1000 USD","117607","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2014","2014","t","20654640.08","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2014","2014","1000 USD","3931914","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2015","2015","t","369990.19","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2015","2015","1000 USD","44632","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2015","2015","t","28923951.45","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2015","2015","1000 USD","5008963","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2016","2016","t","2902560.46","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2016","2016","1000 USD","497178","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2016","2016","t","21873309.73","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2016","2016","1000 USD","3739923","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2017","2017","t","1324670.09","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2017","2017","1000 USD","211456","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2017","2017","t","29265911.38","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2017","2017","1000 USD","4631046","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2018","2018","t","924239.37","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2018","2018","1000 USD","150075","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2018","2018","t","23566197.75","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2018","2018","1000 USD","4109859","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2019","2019","t","1459967.72","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2019","2019","1000 USD","199212","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2019","2019","t","42752101.99","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2019","2019","1000 USD","7289548","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2020","2020","t","1372308.55","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2020","2020","1000 USD","218996","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2020","2020","t","34431936.09","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2020","2020","1000 USD","5853003","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0112","Maize (corn)","2021","2021","t","3205562.53","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0112","Maize (corn)","2021","2021","1000 USD","802993","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0112","Maize (corn)","2021","2021","t","20429565.51","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0112","Maize (corn)","2021","2021","1000 USD","4188846","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2000","2000","t","200421.9","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2000","2000","1000 USD","27073","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2000","2000","t","73.2","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2000","2000","1000 USD","24","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2001","2001","t","219715","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2001","2001","1000 USD","27126","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2001","2001","t","22","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2001","2001","1000 USD","6","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2002","2002","t","221102","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2002","2002","1000 USD","26732","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2002","2002","t","41","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2002","2002","1000 USD","14","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2003","2003","t","650152","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2003","2003","1000 USD","102849","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2003","2003","t","8","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2003","2003","1000 USD","2","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2004","2004","t","214797","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2004","2004","1000 USD","42742","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2004","2004","t","71","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2004","2004","1000 USD","35","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2005","2005","t","44346","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2005","2005","1000 USD","6396","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2005","2005","t","72","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2005","2005","1000 USD","28","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2006","2006","t","30807","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2006","2006","1000 USD","4835","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2006","2006","t","96","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2006","2006","1000 USD","45","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2007","2007","t","46528","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2007","2007","1000 USD","9804","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2007","2007","t","125","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2007","2007","1000 USD","60","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2008","2008","t","44411","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2008","2008","1000 USD","16988","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2008","2008","t","17595","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2008","2008","1000 USD","8060","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2009","2009","t","82146","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2009","2009","1000 USD","24813","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2009","2009","t","30041","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2009","2009","1000 USD","10079","A","Official figure",""
