Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2000","2000","t","19072","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2001","2001","t","18607","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2002","2002","t","17262","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2003","2003","t","19363","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2004","2004","t","25631","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2005","2005","t","26999","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2006","2006","t","24707","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2007","2007","t","27734","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2008","2008","t","32881","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2009","2009","t","37934","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2010","2010","t","69646","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2011","2011","t","71081","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2012","2012","t","72516","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2013","2013","t","60396","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2014","2014","t","62351","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2015","2015","t","77665","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2016","2016","t","91948","E","Estimated value",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2017","2017","t","66129","A","Official figure",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2018","2018","t","74465","A","Official figure",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2019","2019","t","95681","A","Official figure",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2020","2020","t","110528","A","Official figure",""
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1331","Fungicides and Bactericides","2021","2021","t","168169","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","250631.62","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","249212.91","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","258217.78","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","260473.58","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","271520.95","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","284981.4","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","299316.27","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","t","315919.85","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","t","324563.86","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","t","331298.46","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","t","339849.79","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","t","345719.27","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","t","350468.61","E","Estimated value",""
