Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2014","2014","t","79881614","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2015","2015","ha","15407143","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2015","2015","100 g/ha","55353","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2015","2015","t","85283074","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2016","2016","ha","14970502","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2016","2016","100 g/ha","42877","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2016","2016","t","64188314","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2017","2017","ha","17427206","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2017","2017","100 g/ha","56183","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2017","2017","t","97910658","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2018","2018","ha","16126368","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2018","2018","100 g/ha","51076","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2018","2018","t","82366531","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2019","2019","ha","17515920","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2019","2019","100 g/ha","57734","A","Official figure",""
